"id","ЄДРПОУ","Назва","Адреса","Область","Дата","Пользователь","Внесено","Всі лікарі, які можуть бути задіяні з COVID-19 (усі спеціальності)","Лікарі, які вже працюють з пацієнтами з COVID-19","Лікарів у денній зміні","Лікарів у нічній зміні","Всі медсестри","Медсестри, які вже працюють з пацієнтами з COVID-19","Медсестер у денній зміні","Медсестер у нічній зміні","Всього молодшого медичного персоналу","Молодшого медперсоналу, який вже працюють з пацієнтами з COVID-19","Молодшого медперсоналу у денній зміні","Молодшого медперсоналу у нічній зміні","Іншого персоналу та волонтерів, які задіяні у боротьбі з COVID-19","50-60","60-70","70-80","80+","Загалом, ліжок виділено для госпіталізації хворих з COVID-19","Інфекційних","Зайнято інфекційних","Реанімаційні / Інтенсивної терапії","Зайнято реанімаційні / інтенсивної терапії","Зайнято загалом хворими з COVID-19","Для пере-профілювання","Справних ШВЛ високого класу","Пацієнтів підключених до ШВЛ вис. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ сер. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ дитячих, хворих на COVID-19","ШВЛ високого класу підключено до пацієнтів","Справних ШВЛ середнього класу","ШВЛ середнього класу підключено до пацієнтів","Справних ШВЛ дитячих (0-6 років)","Пацієнтів підключених до ШВЛ дитячих","Справних портативних (транспортних) ШВЛ","Несправних ШВЛ (усіх видів)","Моніторів пацієнта поліфункціональних","Екстракорпоральних оксигенаторів (ЕКМО)","Екстракорпоральних оксигенаторів (ЕКМО) у використанні ( підключено до пацієнтів)","Апарат  «Штучна нирка» - є чи немає","Кількість кисневих концентраторів","Газоаналізатор крові - є чи немає","Халати ізоляційні одноразові залишок","Халати ізоляційні одноразові використано за добу","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) залишок","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) витрати на добу","Костюми біозахисту одноразові залишок","Костюми біозахисту одноразові залишок витрати на добу","Маски медичні (хірургічні) одноразові залишок","Маски медичні (хірургічні) одноразові  витрати на добу","Маски медичні багаторазові залишок","Маски медичні багаторазові витрати на добу","Захист очей  (захисні щитки та окуляри) одноразові залишок","Захист очей  (захисні щитки та окуляри) одноразові витрати на добу","Захист очей  (захисні щитки та окуляри) багаторазові залишок","Захист очей  (захисні щитки та окуляри) багаторазові витрати на добу","Рукавички нітрилові нетальковані (нестерильні) залишок","Рукавички нітрилові нетальковані оглядові (нестерильні) витрати на добу","Спиртовмісний антисептик залишок","Спиртовмісний антисептик витрати на добу","швидких тестів залишок","швидких тестів використано за добу","ПЦР залишок","ПЦР використано","Кількість тампонів та стерильних пробірок з транспортним середовищем залишок","Кількість тампонів та стерильних пробірок з транспортним середовищем використано за добу","З них анестезіологів","З них інфекціоністів","Кількість кисневих генераторів до ШВЛ","Рентген апарат","Наявність системи централізованого постачання кисню"
"379123","01982502","Вінницька центральна районна клінічна лікарня","вул. Хмельницьке шосе, 92","Вінницька","20.11.2020 0:00:00","282","20.11.2020 11:28:35","60","11","11","3","108","21","21","16","71","15","15","7","0","59","38","2","0","150","150","46","6","3","46","0","1","0","3","0","0","9","3","2","0","5","0","11","0","0","0","8","1","559","14","2110","214","3565","55","24500","800","0","0","0","0","406","0","10150","500","120","0","250","9","0","0","3730","150","8","2","0","1","1"
"379045","01982554","Калинівська центральна районна лікарня","м.Калинівка, вул.Чкалова, 6","Вінницька","20.11.2020 0:00:00","283","20.11.2020 10:52:09","15","7","7","4","38","14","14","12","18","7","7","7","0","15","3","0","0","80","70","23","10","4","23","0","1","0","0","0","0","4","0","1","0","1","0","0","0","0","0","5","0","970","40","8020","60","2213","30","36550","1000","950","0","268","0","356","0","15635","300","43","2","77","0","0","0","221","0","5","1","1","1","1"
"378754","01982525","Комунальна організація (установа, заклад) Жмеринська центральна районна лікарня","вул. Київська, 288","Вінницька","20.11.2020 0:00:00","284","20.11.2020 8:47:20","69","12","4","3","145","58","25","23","75","25","13","12","0","76","29","1","0","80","80","35","8","3","35","0","4","3","0","0","4","6","0","2","0","4","1","10","0","0","0","13","0","120","40","1520","30","880","10","2100","100","0","0","100","20","100","20","6200","50","360","10","65","0","0","0","0","0","6","3","2","1","1"
"378879","01982591","Комунальна установа Могилів-Подільська окружна лікарня інтенсивного лікування","вул.Полтавська, буд. 89/2","Вінницька","20.11.2020 0:00:00","285","20.11.2020 9:47:21","15","10","4","2","25","12","3","3","22","10","3","2","3","126","44","8","0","80","80","23","9","3","23","10","0","0","2","0","0","5","2","2","0","2","0","8","0","0","0","2","1","3072","0","1378","24","2488","25","19957","25","0","0","500","5","140","0","5250","100","208","0","32","2","0","0","1479","16","5","2","4","1","1"
"379027","01982695","Комунальна установа Хмільницька центральна районна лікарня","вул. Монастирська, буд. 71","Вінницька","20.11.2020 0:00:00","286","20.11.2020 10:45:38","23","16","8","2","48","26","15","11","48","26","15","11","0","4","2","0","0","90","90","21","8","8","21","25","0","0","0","0","0","13","0","0","0","1","0","8","0","0","0","6","0","4530","20","1380","40","180","20","100100","200","0","0","0","0","600","40","6800","200","820","20","75","0","0","0","140","0","8","2","0","1","1"
"378915","05484126","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","вул. Хмельницьке шосе, буд. 96","Вінницька","20.11.2020 0:00:00","287","20.11.2020 10:03:08","64","64","17","5","79","79","56","19","57","57","57","14","0","60","22","0","0","285","285","128","22","19","147","0","13","15","0","0","15","8","0","0","0","2","1","17","1","0","0","5","1","7980","120","17100","100","7000","120","10000","400","500","50","420","20","400","40","10000","200","440","10","80","0","0","0","1680","20","14","15","0","1","1"
"379306","01982666","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ТРОСТЯНЕЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ","смт Тростянець, вул. Мічуріна, буд.60","Вінницька","20.11.2020 0:00:00","288","20.11.2020 13:37:01","15","5","4","1","32","6","3","3","20","6","3","3","5","68","17","5","0","80","20","2","8","1","3","0","0","0","0","0","0","7","0","1","0","0","0","0","0","0","0","1","0","2180","20","1790","20","190","10","10400","200","0","0","0","0","130","10","21200","200","130","5","258","8","0","0","1274","2","4","2","0","1","1"
"379139","33868196","КНП ""Шаргородська центральна районна лікарня""","23500, Вінницька обл., Шаргородський р-н, м.Шаргород, вул. Чорновола, 9","Вінницька","20.11.2020 0:00:00","289","20.11.2020 11:38:01","24","12","8","10","56","28","18","14","33","22","10","6","0","10","1","0","0","80","80","17","8","3","17","0","1","1","2","0","1","5","2","0","0","1","0","8","0","0","0","7","0","2340","58","1500","58","990","12","6050","116","400","0","0","0","106","58","3200","0","110","0","219","1","0","0","454","8","7","2","2","1","1"
"379455","35814729","КОМУНАЛЬНЕ ПІДПРИЄМСТВО КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КОЗЯТИНСЬКОЇ РАЙОННОЇ РАДИ","м. Козятин, вул. Винниченка,буд.  9","Вінницька","20.11.2020 0:00:00","290","20.11.2020 18:51:12","39","14","7","2","76","45","12","6","76","22","7","4","0","81","52","4","1","80","80","12","9","2","14","0","0","0","0","0","0","16","0","2","0","2","1","13","0","0","0","21","1","270","0","1580","30","1490","20","6800","100","50","0","193","0","580","0","1184","90","276","2","129","0","0","0","1324","14","6","4","0","1","1"
"379006","34004453","Комунальний заклад Вінницька обласна клінічна дитяча інфекційна лікарня","вул. Київська, 68","Вінницька","20.11.2020 0:00:00","291","20.11.2020 10:36:48","12","12","3","2","39","30","4","4","29","20","3","3","4","26","10","2","0","60","60","5","6","0","5","0","3","0","0","0","0","2","0","1","0","1","0","4","0","0","0","5","1","918","6","588","24","1636","10","21000","100","0","0","316","0","204","0","20200","100","102","2","360","15","0","0","1400","26","4","8","1","1","1"
