"id","ЄДРПОУ","Назва","Адреса","Область","Дата","Пользователь","Внесено","Всі лікарі, які можуть бути задіяні з COVID-19 (усі спеціальності)","Лікарі, які вже працюють з пацієнтами з COVID-19","Лікарів у денній зміні","Лікарів у нічній зміні","Всі медсестри","Медсестри, які вже працюють з пацієнтами з COVID-19","Медсестер у денній зміні","Медсестер у нічній зміні","Всього молодшого медичного персоналу","Молодшого медперсоналу, який вже працюють з пацієнтами з COVID-19","Молодшого медперсоналу у денній зміні","Молодшого медперсоналу у нічній зміні","Іншого персоналу та волонтерів, які задіяні у боротьбі з COVID-19","50-60","60-70","70-80","80+","Загалом, ліжок виділено для госпіталізації хворих з COVID-19","Інфекційних","Зайнято інфекційних","Реанімаційні / Інтенсивної терапії","Зайнято реанімаційні / інтенсивної терапії","Зайнято загалом хворими з COVID-19","Для пере-профілювання","Справних ШВЛ високого класу","Пацієнтів підключених до ШВЛ вис. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ сер. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ дитячих, хворих на COVID-19","ШВЛ високого класу підключено до пацієнтів","Справних ШВЛ середнього класу","ШВЛ середнього класу підключено до пацієнтів","Справних ШВЛ дитячих (0-6 років)","Пацієнтів підключених до ШВЛ дитячих","Справних портативних (транспортних) ШВЛ","Несправних ШВЛ (усіх видів)","Моніторів пацієнта поліфункціональних","Екстракорпоральних оксигенаторів (ЕКМО)","Екстракорпоральних оксигенаторів (ЕКМО) у використанні ( підключено до пацієнтів)","Апарат  «Штучна нирка» - є чи немає","Кількість кисневих концентраторів","Газоаналізатор крові - є чи немає","Халати ізоляційні одноразові залишок","Халати ізоляційні одноразові використано за добу","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) залишок","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) витрати на добу","Костюми біозахисту одноразові залишок","Костюми біозахисту одноразові залишок витрати на добу","Маски медичні (хірургічні) одноразові залишок","Маски медичні (хірургічні) одноразові  витрати на добу","Маски медичні багаторазові залишок","Маски медичні багаторазові витрати на добу","Захист очей  (захисні щитки та окуляри) одноразові залишок","Захист очей  (захисні щитки та окуляри) одноразові витрати на добу","Захист очей  (захисні щитки та окуляри) багаторазові залишок","Захист очей  (захисні щитки та окуляри) багаторазові витрати на добу","Рукавички нітрилові нетальковані (нестерильні) залишок","Рукавички нітрилові нетальковані оглядові (нестерильні) витрати на добу","Спиртовмісний антисептик залишок","Спиртовмісний антисептик витрати на добу","швидких тестів залишок","швидких тестів використано за добу","ПЦР залишок","ПЦР використано","Кількість тампонів та стерильних пробірок з транспортним середовищем залишок","Кількість тампонів та стерильних пробірок з транспортним середовищем використано за добу","З них анестезіологів","З них інфекціоністів","Кількість кисневих генераторів до ШВЛ","Рентген апарат","Наявність системи централізованого постачання кисню","1. Загальна кількість ліжок в закладі (ліжковий фонд)","1.1. з них з підведеним киснем (сумарно з концентраторами та централізованим постачанням)","1.1.1. з них реанімаційних/інтенсивної терапії","2. Ліжок виділено для госпіталізації хворих на COVID-19 загалом","2.1. з них з підведеним киснем (сумарно з концентраторами та централізованим постачанням)","2.1.1. з них реанімаційних/ інтенсивної терапії","2.2. з них дитячих","2.3. з них пологових","3. Ліжок для перепрофілювання загалом","3.1. з них з підведеним киснем (сумарно з концентраторами та централізованим постачанням)","3.1.1. з них реанімаційних/ інтенсивної терапії","1. Пацієнтів, хорих на COVID-19, загалом","1.1. з них, які займають ліжка без кисню (з переліку виділених для госпіталізації хворих на COVID-19)","1.2. з них, які займають дитячі ліжка","1.3. з них, які займають пологові ліжка","1.4. з них, які займають ліжка з підведеним киснем","1.4.1. з них, які займають ліжка реанімаційні/інтенсивної терапії ","2. Пацієнтів загалом з підозрою на COVID-19","2.1. з них, які займають дитячі ліжка","2.2. з них, які займають пологові ліжка","2.3. з них, які займають ліжка з підведеним киснем","3. Пацієнтів, хворих на COVID-19, що підключено до ШВЛ","4.  Пацієнтів, хорих на COVID-19, що підключено до ЕКМО","5. Пацієнтів з підозрою на COVID-19, що підключено до ШВЛ","6. Пацієнтів з підозрою на COVID-19, що підключено до ЕКМО","7. Кількість госпіталізованих з підтвердженим COVID-19 та з підозрою (за добу)","8. Кількість ліжок, що звільнилась за добу (виписані у випадку одужання, померлі, переведені до іншого (нековідного) відділення всередині лік"
"453522","01982502","Вінницька центральна районна клінічна лікарня","вул. Хмельницьке шосе, 92","Вінницька","27.12.2020 0:00:00","282","27.12.2020 10:25:49","60","4","4","4","108","16","16","15","71","10","10","7","0","59","38","2","0","0","0","60","0","4","60","0","2","2","3","0","2","9","3","2","0","7","0","11","0","0","0","18","1","230","0","2010","55","3455","26","8300","40","0","0","136","1","463","0","5650","130","136","1","85","5","0","0","2800","0","8","2","0","1","1","180","165","10","180","165","10","0","0","0","0","0","60","49","0","0","60","4","49","","","47","4","","1","","1","1"
"453285","01982554","Калинівська центральна районна лікарня","м.Калинівка, вул.Чкалова, 6","Вінницька","27.12.2020 0:00:00","283","27.12.2020 9:02:46","15","7","7","4","38","14","14","12","18","7","7","7","0","15","3","0","0","0","0","9","0","3","9","0","2","0","2","0","0","4","2","1","0","1","0","0","0","0","0","7","0","580","0","570","0","1476","0","1000","0","950","0","248","0","350","0","7355","0","47","0","120","0","0","0","677","8","5","1","1","1","1","225","74","6","80","74","10","0","0","0","0","0","9","11","0","0","4","3","11","","","2","2","","0","","5","6"
"453335","01982525","Комунальна організація (установа, заклад) Жмеринська центральна районна лікарня","вул. Київська, 288","Вінницька","27.12.2020 0:00:00","284","27.12.2020 9:19:09","69","12","4","3","145","58","25","23","75","25","13","12","0","76","29","1","0","0","0","46","0","3","46","0","8","3","0","0","3","5","0","2","0","4","1","13","0","0","0","37","0","780","40","1160","30","1250","10","9600","100","0","0","100","20","100","20","2500","50","170","10","60","0","0","0","0","0","6","3","2","1","1","190","134","8","130","128","8","0","0","0","0","0","46","25","0","0","13","3","25","","","2","3","","0","","5","0"
"453076","01982591","Комунальна установа Могилів-Подільська окружна лікарня інтенсивного лікування","вул.Полтавська, буд. 89/2","Вінницька","27.12.2020 0:00:00","285","27.12.2020 7:38:00","21","10","4","2","44","12","3","3","27","10","3","2","3","126","44","8","0","0","0","13","0","1","13","0","0","0","3","0","0","5","3","2","0","2","1","8","0","0","0","2","1","2667","10","2138","30","1700","18","19110","30","0","0","475","0","138","0","1150","100","196","0","19","0","0","0","1115","24","7","2","4","1","1","225","109","18","80","53","9","0","0","75","0","0","13","18","0","0","2","1","18","","","7","1","","2","","7","3"
"453116","01982695","Комунальна установа Хмільницька центральна районна лікарня","вул. Монастирська, буд. 71","Вінницька","27.12.2020 0:00:00","286","27.12.2020 8:05:46","23","16","8","2","48","26","15","11","48","26","15","11","0","4","2","0","0","0","0","13","0","1","13","0","0","0","0","0","0","13","0","0","0","1","0","19","0","0","0","11","1","4420","20","1450","40","17","0","99300","200","0","0","80","20","40","0","50","0","860","20","135","0","0","0","140","0","8","2","0","1","1","215","117","9","145","117","8","0","0","0","0","0","13","25","0","0","2","1","25","","","3","0","","0","","3","1"
"453256","05484126","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","вул. Хмельницьке шосе, буд. 96","Вінницька","27.12.2020 0:00:00","287","27.12.2020 8:52:47","76","76","17","5","110","110","56","19","70","70","57","14","0","60","22","0","0","0","0","74","0","12","85","0","28","12","0","0","19","8","0","0","0","2","0","17","1","0","0","25","1","7840","120","11000","100","5560","120","4700","400","300","50","110","20","110","20","6300","200","310","10","79","1","0","0","1310","20","14","15","0","1","1","285","216","22","285","216","22","0","0","0","0","0","85","75","0","0","73","12","82","","","75","12","","7","","0","1"
"453138","01982666","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ТРОСТЯНЕЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ","смт Тростянець, вул. Мічуріна, буд.60","Вінницька","27.12.2020 0:00:00","288","27.12.2020 8:14:57","15","5","4","1","32","6","3","3","20","6","3","3","5","68","17","5","0","0","0","3","0","0","3","0","0","0","0","0","0","7","0","1","0","0","0","3","0","0","0","3","0","1930","20","920","20","190","10","17600","200","0","0","0","0","100","10","20800","200","85","5","257","0","0","0","1354","0","4","2","0","1","1","100","86","6","80","80","8","0","0","0","0","0","3","5","0","0","3","0","5","","","5","0","","0","","3","0"
"453379","33868196","КНП ""Шаргородська центральна районна лікарня""","23500, Вінницька обл., Шаргородський р-н, м.Шаргород, вул. Чорновола, 9","Вінницька","27.12.2020 0:00:00","289","27.12.2020 9:33:35","24","12","8","10","56","28","18","14","33","22","10","6","0","10","1","0","0","0","0","12","0","1","12","0","1","0","3","0","0","5","3","0","0","1","0","8","0","0","0","7","1","2340","58","1500","58","990","12","6050","116","400","0","0","0","106","58","2500","0","110","0","352","1","0","0","186","12","8","2","2","1","1","","","","","","","","","","","","12","14","0","0","3","1","14","","","10","1","","0","","7","1"
"453354","35814729","КОМУНАЛЬНЕ ПІДПРИЄМСТВО КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КОЗЯТИНСЬКОЇ РАЙОННОЇ РАДИ","м. Козятин, вул. Винниченка,буд.  9","Вінницька","27.12.2020 0:00:00","290","27.12.2020 9:24:35","39","14","8","2","76","45","12","6","76","22","8","4","0","81","52","4","1","0","0","5","0","0","5","0","0","0","0","0","0","16","0","2","0","2","1","13","0","0","0","50","1","270","0","945","15","1840","20","3860","80","50","0","193","0","580","0","18374","90","196","2","127","1","0","0","1030","2","6","4","0","1","1","250","105","9","80","80","9","0","0","40","22","0","5","5","0","0","5","0","6","","","6","0","","0","","0","0"
"453742","34004453","Комунальний заклад Вінницька обласна клінічна дитяча інфекційна лікарня","вул. Київська, 68","Вінницька","27.12.2020 0:00:00","291","27.12.2020 12:17:30","16","16","4","2","39","34","5","5","29","24","4","4","4","26","11","2","0","0","0","1","0","0","1","0","3","0","0","0","0","2","0","1","0","1","0","4","0","0","0","6","1","1805","4","5135","18","2510","8","37500","100","0","0","307","0","204","0","16700","100","20","2","265","6","0","0","740","10","5","11","1","1","1","60","40","6","60","40","6","60","0","0","0","0","1","52","1","0","1","0","52","","","52","0","","0","","3","0"
